ts_ns,exchange,feed,source_engine_ts_ns,source_system_ts_ns,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760671602019868238,bybit,orderbook,1760671601978000000,1760671601984000000,0.09842500,,market,,,,,,,,,,,
1760671602026877508,binance,bbo,1760671602025000000,1760671602025000000,0.09843284,,market,,,,,,,,,,,
1760671602028923171,gate,bbo,1760671602028000000,1760671602028000000,0.09842000,,market,,,,,,,,,,,
1760671602033494300,bitget,orderbook,1760671602029000000,1760671601907000000,0.09843148,,market,,,,,,,,,,,
1760671602033494300,bitget,bbo,1760671602029000000,1760671602031000000,0.09845398,,market,,,,,,,,,,,
1760671602040347097,bybit,orderbook,1760671601991000000,1760671602005000000,0.09842500,,market,,,,,,,,,,,
1760671602057346309,binance,trade,1760671601901000000,1760671602055000000,0.09843784,buy,market,,,,,,,,,,,
1760671602051103835,bitget,trade,1760671602041000000,1760671602048000000,0.09841648,sell,market,,,,,,,,,,,
1760671602060083330,bybit,orderbook,1760671602021000000,1760671602024000000,0.09842500,,market,,,,,,,,,,,
1760671602059865142,bitget,orderbook,1760671602054000000,1760671602057000000,0.09845148,,market,,,,,,,,,,,
1760671602098040038,gate,trade,1760671602096000000,1760671602097000000,0.09840000,sell,market,,,,,,,,,,,
1760671602099666251,bybit,orderbook,1760671602060000000,1760671602064000000,0.09840595,,market,,,,,,,,,,,
1760671602113197096,binance,bbo,1760671602111000000,1760671602112000000,0.09835125,,market,,,,,,,,,,,
1760671602100380606,binance,trade,1760671602097000000,1760671602098000000,0.09837625,sell,market,,,,,,,,,,,
1760671602110269388,gate,bbo,1760671602109000000,1760671602109000000,0.09832500,,market,,,,,,,,,,,
1760671602098885366,gate,trade,1760671602097000000,1760671602098000000,0.09835000,sell,market,,,,,,,,,,,
1760671602112681029,bitget,trade,1760671602098000000,1760671602110000000,0.09832500,sell,market,,,,,,,,,,,
1760671602119702749,bybit,orderbook,1760671602078000000,1760671602084000000,0.09840295,,market,,,,,,,,,,,
1760671602131168584,gate,bbo,1760671602130000000,1760671602130000000,0.09834000,,market,,,,,,,,,,,
1760671602133493410,bitget,orderbook,1760671602129000000,1760671602057000000,0.09834529,,market,,,,,,,,,,,
1760671602133493410,bitget,bbo,1760671602129000000,1760671602131000000,0.09830629,,market,,,,,,,,,,,
1760671602139613532,bybit,orderbook,1760671602096000000,1760671602104000000,0.09840295,,market,,,,,,,,,,,
1760671602169792417,bybit,bbo,1760671602133000000,1760671602134000000,0.09835563,,market,,,,,,,,,,,
1760671602166488779,bybit,trade,1760671602128000000,1760671602130000000,0.09833562,sell,market,,,,,,,,,,,
1760671602171722238,binance,bbo,1760671602169000000,1760671602170000000,0.09834617,,market,,,,,,,,,,,
1760671602174545183,gate,bbo,1760671602173000000,1760671602174000000,0.09835000,,market,,,,,,,,,,,
