ts_ns,exchange,feed,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760021279226000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021279222076000,bitget,orderbook,0.24372686,,market,,,,,,,,,,,
1760021279243000000,bitget,bbo,0.24372686,,market,,,,,,,,,,,
1760021279240943000,bybit,orderbook,0.24379205,,market,,,,,,,,,,,
1760021279246000000,binance,bbo,0.24379518,,market,,,,,,,,,,,
1760021279092000000,binance,trade,0.24380018,buy,market,,,,,,,,,,,
1760021279249000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021279243420000,bitget,orderbook,0.24372705,,market,,,,,,,,,,,
1760021279264000000,bitget,bbo,0.24372705,,market,,,,,,,,,,,
1760021279262294000,bybit,orderbook,0.24379205,,market,,,,,,,,,,,
1760021279271000000,binance,bbo,0.24379518,,market,,,,,,,,,,,
1760021279262292000,bitget,orderbook,0.24372705,,market,,,,,,,,,,,
1760021279284000000,bitget,bbo,0.24372705,,market,,,,,,,,,,,
1760021279284211000,bybit,orderbook,0.24379181,,market,,,,,,,,,,,
1760021279313000000,bybit,bbo,0.24379181,,market,,,,,,,,,,,
1760021279278000000,binance,bbo,0.24379492,,market,,,,,,,,,,,
1760021279277000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021279284177000,bitget,orderbook,0.24372714,,market,,,,,,,,,,,
1760021279304000000,bitget,bbo,0.24372714,,market,,,,,,,,,,,
1760021279302475000,bybit,orderbook,0.24379157,,market,,,,,,,,,,,
1760021279344000000,bybit,bbo,0.24379157,,market,,,,,,,,,,,
1760021279313000000,binance,bbo,0.24379467,,market,,,,,,,,,,,
1760021279305000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021279303444000,bitget,orderbook,0.24372723,,market,,,,,,,,,,,
1760021279325000000,bitget,bbo,0.24372723,,market,,,,,,,,,,,
1760021279321008000,bybit,orderbook,0.24379111,,market,,,,,,,,,,,
1760021279353000000,bybit,bbo,0.24379111,,market,,,,,,,,,,,
1760021279333000000,binance,bbo,0.24379417,,market,,,,,,,,,,,
1760021279329000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021279322063000,bitget,orderbook,0.24372741,,market,,,,,,,,,,,
1760021279345000000,bitget,bbo,0.24372741,,market,,,,,,,,,,,
1760021279340896000,bybit,orderbook,0.24379070,,market,,,,,,,,,,,
1760021279373000000,bybit,bbo,0.24379070,,market,,,,,,,,,,,
1760021279354000000,binance,bbo,0.24380368,,market,,,,,,,,,,,
1760021279236000000,binance,trade,0.24378868,sell,market,,,,,,,,,,,
1760021279351000000,gate,bbo,0.24375500,,market,,,,,,,,,,,
1760021279344125000,bitget,orderbook,0.24374764,,market,,,,,,,,,,,
1760021279366000000,bitget,bbo,0.24374764,,market,,,,,,,,,,,
1760021279362255000,bybit,orderbook,0.24379052,,market,,,,,,,,,,,
1760021279393000000,bybit,bbo,0.24379052,,market,,,,,,,,,,,
1760021279364000000,binance,bbo,0.24380344,,market,,,,,,,,,,,
1760021279368000000,gate,bbo,0.24375500,,market,,,,,,,,,,,
1760021279363454000,bitget,orderbook,0.24374767,,market,,,,,,,,,,,
1760021279386000000,bitget,bbo,0.24374767,,market,,,,,,,,,,,
1760021279382046000,bybit,orderbook,0.24379052,,market,,,,,,,,,,,
1760021279392000000,binance,bbo,0.24380344,,market,,,,,,,,,,,
1760021279400250000,bybit,orderbook,0.24379052,,market,,,,,,,,,,,
1760021279433000000,bybit,bbo,0.24379052,,market,,,,,,,,,,,
1760021279409000000,binance,bbo,0.24380344,,market,,,,,,,,,,,
1760021279387317000,bitget,orderbook,0.24374767,,market,,,,,,,,,,,
1760021279410000000,bitget,bbo,0.24374767,,market,,,,,,,,,,,
1760021279453000000,bybit,bbo,0.24379034,,market,,,,,,,,,,,
1760021279420000000,binance,bbo,0.24380320,,market,,,,,,,,,,,
1760021279424000000,gate,bbo,0.24375500,,market,,,,,,,,,,,
1760021279408859000,bitget,orderbook,0.24374771,,market,,,,,,,,,,,
1760021279430000000,bitget,bbo,0.24374771,,market,,,,,,,,,,,
1760021279502349000,bybit,orderbook,0.24378966,,market,,,,,,,,,,,
1760021279473000000,bybit,bbo,0.24378966,,market,,,,,,,,,,,
1760021279508000000,binance,bbo,0.24380227,,market,,,,,,,,,,,
1760021279349000000,binance,trade,0.24379727,buy,market,,,,,,,,,,,
1760021279506000000,gate,bbo,0.24375500,,market,,,,,,,,,,,
1760021279502305000,bitget,orderbook,0.24374785,,market,,,,,,,,,,,
1760021279511000000,bitget,bbo,0.24374785,,market,,,,,,,,,,,
1760021279522439000,bybit,orderbook,0.24378950,,market,,,,,,,,,,,
1760021279529000000,gate,bbo,0.24375500,,market,,,,,,,,,,,
1760021279545432000,bybit,orderbook,0.24378950,,market,,,,,,,,,,,
1760021279562134000,bybit,orderbook,0.24378919,,market,,,,,,,,,,,
1760021279593000000,bybit,bbo,0.24378919,,market,,,,,,,,,,,
1760021279556000000,binance,bbo,0.24380162,,market,,,,,,,,,,,
1760021279567000000,gate,bbo,0.24375500,,market,,,,,,,,,,,
1760021279569000000,gate,trade,0.24376000,buy,market,,,,,,,,,,,
1760021279562152000,bitget,orderbook,0.24374798,,market,,,,,,,,,,,
1760021279577000000,bitget,bbo,0.24374798,,market,,,,,,,,,,,
