ts_ns,exchange,feed,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760065291720530676,bybit,orderbook,0.24842382,,market,,,,,,,,,,,
1760065291740228517,bybit,orderbook,0.24842382,,market,,,,,,,,,,,
1760065291703000000,bybit,bbo,0.24842382,,market,,,,,,,,,,,
1760065291746000000,binance,bbo,0.24841882,,market,,,,,,,,,,,
1760065291737987566,bitget,orderbook,0.24842353,,market,,,,,,,,,,,
1760065291760524836,bybit,orderbook,0.24842389,,market,,,,,,,,,,,
1760065291723000000,bybit,bbo,0.24842389,,market,,,,,,,,,,,
1760065291771000000,binance,bbo,0.24841917,,market,,,,,,,,,,,
1760065291607000000,binance,trade,0.24842417,sell,market,,,,,,,,,,,
1760065291757000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065291780426834,bybit,orderbook,0.24842395,,market,,,,,,,,,,,
1760065291773000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065291800395500,bybit,orderbook,0.24842395,,market,,,,,,,,,,,
1760065291805000000,binance,bbo,0.24841947,,market,,,,,,,,,,,
1760065291820602831,bybit,orderbook,0.24842400,,market,,,,,,,,,,,
1760065291823000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065291840496171,bybit,orderbook,0.24842400,,market,,,,,,,,,,,
1760065291860270606,bybit,orderbook,0.24842400,,market,,,,,,,,,,,
1760065291879996721,bybit,orderbook,0.24842400,,market,,,,,,,,,,,
1760065291853000000,bybit,bbo,0.24842400,,market,,,,,,,,,,,
1760065291887655468,bitget,orderbook,0.24842375,,market,,,,,,,,,,,
1760065291900231601,bybit,orderbook,0.24842400,,market,,,,,,,,,,,
1760065291921935033,bybit,orderbook,0.24842405,,market,,,,,,,,,,,
1760065291929000000,binance,bbo,0.24842000,,market,,,,,,,,,,,
1760065291771000000,binance,trade,0.24841500,sell,market,,,,,,,,,,,
1760065291922000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065291940288481,bybit,orderbook,0.24842409,,market,,,,,,,,,,,
1760065291941000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065291948387532,bitget,orderbook,0.24842386,,market,,,,,,,,,,,
1760065291944000000,bitget,bbo,0.24842386,,market,,,,,,,,,,,
1760065291959978030,bybit,orderbook,0.24842409,,market,,,,,,,,,,,
1760065291980093378,bybit,orderbook,0.24842409,,market,,,,,,,,,,,
1760065291953000000,bybit,bbo,0.24842409,,market,,,,,,,,,,,
1760065291981000000,binance,bbo,0.24842023,,market,,,,,,,,,,,
1760065291990759429,bitget,orderbook,0.24842386,,market,,,,,,,,,,,
1760065291986000000,bitget,bbo,0.24842386,,market,,,,,,,,,,,
1760065292000277504,bybit,orderbook,0.24842409,,market,,,,,,,,,,,
1760065291974000000,bybit,bbo,0.24841409,,market,,,,,,,,,,,
1760065291965000000,bybit,trade,0.24841909,sell,market,,,,,,,,,,,
1760065292001000000,binance,bbo,0.24842023,,market,,,,,,,,,,,
1760065292020540138,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065291993000000,bybit,bbo,0.24841409,,market,,,,,,,,,,,
1760065292030472114,bitget,orderbook,0.24842386,,market,,,,,,,,,,,
1760065292026000000,bitget,bbo,0.24842386,,market,,,,,,,,,,,
1760065292040406689,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292014000000,bybit,bbo,0.24841409,,market,,,,,,,,,,,
1760065292045000000,binance,bbo,0.24842023,,market,,,,,,,,,,,
1760065291927000000,binance,trade,0.24841523,sell,market,,,,,,,,,,,
1760065292037677147,bitget,orderbook,0.24842386,,market,,,,,,,,,,,
1760065292060502736,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292080226551,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292073917613,bitget,orderbook,0.24842386,,market,,,,,,,,,,,
1760065292069000000,bitget,bbo,0.24842386,,market,,,,,,,,,,,
1760065292100250241,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292097000000,binance,bbo,0.24842023,,market,,,,,,,,,,,
1760065292120352346,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292149000000,binance,bbo,0.24842023,,market,,,,,,,,,,,
1760065292160687335,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292151000000,binance,bbo,0.24842023,,market,,,,,,,,,,,
1760065292180253452,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292190435444,bitget,orderbook,0.24842386,,market,,,,,,,,,,,
1760065292200916202,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292045000000,binance,trade,0.24841523,sell,market,,,,,,,,,,,
1760065292220529028,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292237000000,binance,bbo,0.24842023,,market,,,,,,,,,,,
1760065292260239712,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292280566800,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292253000000,bybit,bbo,0.24841409,,market,,,,,,,,,,,
1760065292300911098,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292320161546,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292294000000,bybit,bbo,0.24841409,,market,,,,,,,,,,,
1760065292330000000,binance,bbo,0.24842023,,market,,,,,,,,,,,
1760065292340103314,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292341116027,bitget,orderbook,0.24842386,,market,,,,,,,,,,,
1760065292331000000,bitget,bbo,0.24842386,,market,,,,,,,,,,,
1760065292360448585,bybit,orderbook,0.24841409,,market,,,,,,,,,,,
1760065292361000000,binance,bbo,0.24842023,,market,,,,,,,,,,,
1760065292386000000,binance,bbo,0.24842023,,market,,,,,,,,,,,
1760065292400388612,bybit,orderbook,0.24841457,,market,,,,,,,,,,,
1760065292374000000,bybit,bbo,0.24841457,,market,,,,,,,,,,,
1760065292397000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065292420572342,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292416000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065292414000000,bybit,bbo,0.24841500,,market,,,,,,,,,,,
1760065292460324706,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292480142007,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292330000000,binance,trade,0.24841563,sell,market,,,,,,,,,,,
1760065292492078669,bitget,orderbook,0.24842396,,market,,,,,,,,,,,
1760065292500444773,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292509000000,binance,bbo,0.24842063,,market,,,,,,,,,,,
1760065292505578467,bitget,orderbook,0.24842396,,market,,,,,,,,,,,
1760065292500000000,bitget,bbo,0.24842396,,market,,,,,,,,,,,
1760065292560330497,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292600717221,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292594000000,binance,bbo,0.24842063,,market,,,,,,,,,,,
1760065292620092552,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292641665208,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292642289774,bitget,orderbook,0.24842396,,market,,,,,,,,,,,
1760065292666255517,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292634000000,bybit,bbo,0.24841500,,market,,,,,,,,,,,
1760065292666000000,binance,bbo,0.24842063,,market,,,,,,,,,,,
1760065292661155561,bitget,orderbook,0.24842396,,market,,,,,,,,,,,
1760065292656000000,bitget,bbo,0.24842396,,market,,,,,,,,,,,
1760065292680162905,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292700539314,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292709000000,binance,bbo,0.24842063,,market,,,,,,,,,,,
1760065292720073835,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292740141707,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292713000000,bybit,bbo,0.24841500,,market,,,,,,,,,,,
1760065292594000000,binance,trade,0.24841563,sell,market,,,,,,,,,,,
1760065292760093658,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292780351277,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292792085557,bitget,orderbook,0.24842396,,market,,,,,,,,,,,
1760065292814000000,binance,bbo,0.24842063,,market,,,,,,,,,,,
1760065292840222820,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292860838073,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292900080774,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292899000000,binance,bbo,0.24842063,,market,,,,,,,,,,,
1760065292922222306,bybit,orderbook,0.24841500,,market,,,,,,,,,,,
1760065292923000000,binance,bbo,0.24842063,,market,,,,,,,,,,,
1760065292814000000,binance,trade,0.24841563,sell,market,,,,,,,,,,,
1760065292940106280,bybit,orderbook,0.24841540,,market,,,,,,,,,,,
1760065292948000000,binance,bbo,0.24842100,,market,,,,,,,,,,,
1760065292941000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065292941973762,bitget,orderbook,0.24842400,,market,,,,,,,,,,,
1760065292960231420,bybit,orderbook,0.24841540,,market,,,,,,,,,,,
1760065292999000000,binance,bbo,0.24842100,,market,,,,,,,,,,,
1760065293022381920,bybit,orderbook,0.24841540,,market,,,,,,,,,,,
1760065293040000000,binance,bbo,0.24842100,,market,,,,,,,,,,,
