ts_ns,exchange,feed,source_engine_ts_ns,source_system_ts_ns,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns,bid_px_1,bid_sz_1,bid_px_2,bid_sz_2,bid_px_3,bid_sz_3,bid_px_4,bid_sz_4,bid_px_5,bid_sz_5,ask_px_1,ask_sz_1,ask_px_2,ask_sz_2,ask_px_3,ask_sz_3,ask_px_4,ask_sz_4,ask_px_5,ask_sz_5,bid_depth,ask_depth
1764227723681516959,binance,bbo,1764227723602000000,1764227723602000000,143.62450000,,market,,,,,,,,,,,,143.61950000,270.79000000,,,,,,,,,143.62950000,1182.32000000,,,,,,,,,270.79000000,1182.32000000
1764227723678987209,gate,orderbook,1764227723600000000,,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,143.61000000,62.00000000,143.60000000,200.00000000,143.59000000,131.00000000,143.58000000,205.00000000,143.63000000,64.00000000,143.64000000,70.00000000,143.65000000,83.00000000,143.66000000,67.00000000,143.67000000,152.00000000,629.00000000,436.00000000
1764227723677397042,gate,bbo,1764227723600000000,1764227723601000000,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,,,,,,,,,143.63000000,64.00000000,,,,,,,,,31.00000000,64.00000000
1764227723663081084,bitget,orderbook,1764227723611000000,1764227723613000000,143.62750000,,market,,,,,,,,,,,,143.62700000,47.00000000,143.61400000,3.30000000,143.61100000,221.40000000,143.61000000,12.80000000,143.60900000,3.50000000,143.62800000,528.20000000,143.62900000,5.50000000,143.63000000,98.00000000,143.63100000,117.10000000,143.63200000,98.00000000,288.00000000,846.80000000
1764227723682385125,okx,orderbook,1764227723616000000,1764227723606000000,143.62750000,,market,,,,,,,,,,,,143.62250000,11.74000000,143.61250000,65.37000000,143.60250000,228.92000000,143.59250000,887.88000000,143.58250000,1565.32000000,143.63250000,524.26000000,143.64250000,556.77000000,143.65250000,987.94000000,143.66250000,571.90000000,143.67250000,696.91000000,2759.23000000,3337.78000000
1764227723682385125,okx,bbo,1764227723616000000,1764227723616000000,143.62750000,,market,,,,,,,,,,,,143.62250000,11.74000000,,,,,,,,,143.63250000,524.26000000,,,,,,,,,11.74000000,524.26000000
1764227723684813250,binance,bbo,1764227723606000000,1764227723606000000,143.62452381,,market,,,,,,,,,,,,143.61952381,270.79000000,,,,,,,,,143.62952381,1144.09000000,,,,,,,,,270.79000000,1144.09000000
1764227723696682709,gate,orderbook,1764227723619000000,,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,143.61000000,62.00000000,143.60000000,200.00000000,143.59000000,131.00000000,143.58000000,205.00000000,143.63000000,58.00000000,143.64000000,70.00000000,143.65000000,83.00000000,143.66000000,67.00000000,143.67000000,152.00000000,629.00000000,430.00000000
1764227723696668250,gate,bbo,1764227723618000000,1764227723618000000,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,,,,,,,,,143.63000000,58.00000000,,,,,,,,,31.00000000,58.00000000
1764227723716015417,binance,orderbook,1764227723636000000,,143.62454545,,market,,,,,,,,,,,,143.61954545,270.79000000,143.60954545,264.89000000,143.59954545,542.71000000,143.58954545,858.76000000,143.57954545,2147.01000000,143.62954545,1144.38000000,143.63954545,564.19000000,143.64954545,399.55000000,143.65954545,807.98000000,143.66954545,725.08000000,4084.16000000,3641.18000000
1764227723712645417,binance,bbo,1764227723635000000,1764227723635000000,143.62454545,,market,,,,,,,,,,,,143.61954545,270.79000000,,,,,,,,,143.62954545,1144.38000000,,,,,,,,,270.79000000,1144.38000000
1764227723717845709,gate,orderbook,1764227723640000000,,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,143.61000000,62.00000000,143.60000000,200.00000000,143.59000000,131.00000000,143.58000000,205.00000000,143.63000000,64.00000000,143.64000000,70.00000000,143.65000000,83.00000000,143.66000000,67.00000000,143.67000000,152.00000000,629.00000000,436.00000000
1764227723717864084,gate,bbo,1764227723640000000,1764227723641000000,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,,,,,,,,,143.63000000,64.00000000,,,,,,,,,31.00000000,64.00000000
1764227723741627125,okx,orderbook,1764227723676000000,1764227723606000000,143.62727273,,market,,,,,,,,,,,,143.62227273,11.74000000,143.61227273,65.37000000,143.60227273,228.92000000,143.59227273,887.88000000,143.58227273,1565.32000000,143.63227273,521.49000000,143.64227273,556.77000000,143.65227273,987.94000000,143.66227273,571.90000000,143.67227273,696.91000000,2759.23000000,3335.01000000
1764227723741627125,okx,bbo,1764227723676000000,1764227723676000000,143.62727273,,market,,,,,,,,,,,,143.62227273,11.74000000,,,,,,,,,143.63227273,521.49000000,,,,,,,,,11.74000000,521.49000000
1764227723734169167,okx,trade,1764227723669000000,,143.63227273,buy,market,,,2.67000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764227723758885500,binance,bbo,1764227723681000000,1764227723681000000,143.62454545,,market,,,,,,,,,,,,143.61954545,269.43000000,,,,,,,,,143.62954545,1144.38000000,,,,,,,,,269.43000000,1144.38000000
1764227723767639000,gate,orderbook,1764227723640000000,,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,143.61000000,62.00000000,143.60000000,200.00000000,143.59000000,131.00000000,143.58000000,205.00000000,143.63000000,64.00000000,143.64000000,70.00000000,143.65000000,83.00000000,143.66000000,67.00000000,143.67000000,152.00000000,629.00000000,436.00000000
1764227723774757042,okx,orderbook,1764227723706000000,1764227723706000000,143.62727273,,market,,,,,,,,,,,,143.62227273,11.74000000,143.61227273,65.37000000,143.60227273,228.92000000,143.59227273,887.88000000,143.58227273,1565.32000000,143.63227273,521.49000000,143.64227273,556.77000000,143.65227273,987.94000000,143.66227273,571.90000000,143.67227273,696.91000000,2759.23000000,3335.01000000
1764227723773468625,mexc,orderbook,1764227723538000000,1764227723538000000,143.64500000,,market,,,,,,,,,,,,143.64000000,2947.00000000,143.63000000,2883.00000000,143.62000000,6343.00000000,143.61000000,29140.00000000,143.60000000,24095.00000000,143.65000000,15525.00000000,143.66000000,7656.00000000,143.67000000,5296.00000000,143.68000000,30159.00000000,143.69000000,9836.00000000,65408.00000000,68472.00000000
1764227723784180250,bybit,orderbook,1764227723730000000,1764227723737000000,143.61812500,,market,,,,,,,,,,,,143.61312500,6.10000000,143.60312500,162.60000000,143.59312500,280.50000000,143.58312500,832.80000000,143.57312500,873.20000000,143.62312500,1840.00000000,143.63312500,365.30000000,143.64312500,600.90000000,143.65312500,1284.70000000,143.66312500,1131.90000000,2155.20000000,5222.80000000
1764227723796633000,gate,orderbook,1764227723718000000,,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,143.61000000,62.00000000,143.60000000,200.00000000,143.59000000,131.00000000,143.58000000,205.00000000,143.63000000,63.00000000,143.64000000,70.00000000,143.65000000,83.00000000,143.66000000,67.00000000,143.67000000,152.00000000,629.00000000,435.00000000
1764227723788104917,gate,bbo,1764227723705000000,1764227723706000000,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,,,,,,,,,143.63000000,63.00000000,,,,,,,,,31.00000000,63.00000000
1764227723813516875,bybit,bbo,1764227723763000000,1764227723768000000,143.61812500,,market,,,,,,,,,,,,143.61312500,141.90000000,,,,,,,,,143.62312500,1840.00000000,,,,,,,,,141.90000000,1840.00000000
1764227723804133167,binance,bbo,1764227723726000000,1764227723726000000,143.62456522,,market,,,,,,,,,,,,143.61956522,269.47000000,,,,,,,,,143.62956522,1144.42000000,,,,,,,,,269.47000000,1144.42000000
